InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
"ANSP","ORN","178072","","Bombycilla cedrorum","","","","","","","","USA","Pennsylvania","CHESTER","","","GLENMOORE","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","178075","","Bombycilla cedrorum","","","","","","","","USA","Pennsylvania","DELAWARE","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","178126","","Bombycilla cedrorum","","","","","","","","USA","Pennsylvania","CHESTER","","","GLENMOORE","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","178127","","Bombycilla cedrorum","","","","","","","","USA","NEW HAMPSHIRE","BELKNAP","","","MEREDITH","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","180769","","Bombycilla cedrorum","","","","","","","","USA","NEW JERSEY","CAPE MAY","","","CAPE MAY","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","181878","","Bombycilla cedrorum","","","","","","","","USA","Pennsylvania","TIOGA","","","COWANESQUE","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","182094","","Bombycilla cedrorum","","","","","","","","USA","NEW JERSEY","CUMBERLAND","","","SALEM","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","182980","","Bombycilla cedrorum","","","","","","","","USA","Pennsylvania","DELWARE","","","SWARTHMORE","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","182981","","Bombycilla cedrorum","","","","","","","","USA","Pennsylvania","DELWARE","","","SWARTHMORE","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","27128","","Bombycilla cedrorum","","","","","","","","USA","Florida","","","","TARPON SPRINGS","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","27129","","Bombycilla cedrorum","","","","","","","","USA","Florida","","","","TARPON SPRINGS","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28611","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28612","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28613","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28614","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28615","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28616","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28617","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28619","","Bombycilla garrulus pallidiceps","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28621","","Bombycilla cedrorum","","","","","","","","USA","PENNSYLVANIA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28622","","Bombycilla cedrorum","","","","","","","","USA","PENNSYLVANIA","A","","","PHILADELPHIA; CHESTNUT HILL","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28623","","Bombycilla cedrorum","","","","","","","","USA","PENNSYLVANIA","A","","","PHILADELPHIA; CHESTNUT HILL","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28624","","Bombycilla cedrorum","","","","","","","","USA","DELAWARE","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28625","","Bombycilla cedrorum","","","","","","","","USA","DELAWARE","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28626","","Bombycilla cedrorum","","","","","","","","USA","DELAWARE","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28627","","Bombycilla cedrorum","","","","","","","","USA","NEW JERSEY","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28628","","Bombycilla cedrorum","","","","","","","","USA","NEW JERSEY","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28629","","Bombycilla cedrorum","","","","","","","","USA","NEW JERSEY","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28630","","Bombycilla cedrorum","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28631","","Bombycilla cedrorum","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","28632","","Bombycilla cedrorum","","","","","","","","USA","IOWA","","","","","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","29557","","Bombycilla cedrorum","","","","","","","","USA","","","","","WASHINGTON D.C.","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","29558","","Bombycilla cedrorum","","","","","","","","USA","","","","","WASHINGTON D.C.","","","","","","","","","","","2007-02-26T00:00:00-05:00"
"ANSP","ORN","31256","","Bombycilla cedrorum","","","","","","","","Canada","BRITISH COLUMBIA","","","","BONAPARTE","","","","","","","","","","","2007-02-26T00:00:00-05:00"
